,Maturities,ZeroRate,DiscountFactor
0,0.0,0.00370340556397597,1.0
1,0.016666666666666666,0.003703405562553108,0.999881839758028
2,0.03333333333333333,0.0038932680108332285,0.9997920785824603
3,0.05277777777777778,0.0039438567144625125,0.9996940627646448
4,0.07222222222222222,0.003937723466044929,0.9995617302380162
5,0.09722222222222222,0.003941596913745737,0.9994130900327187
6,0.18611111111111112,0.004036813245319237,0.9988780525633428
7,0.26666666666666666,0.004081311745463445,0.9982975953945968
8,0.3527777777777778,0.004138554386883708,0.9976907042076045
9,0.4388888888888889,0.004255635069940311,0.9970574349101122
10,0.5166666666666667,0.004373460250532979,0.9964794459623626
11,0.7722222222222223,0.004590999256135486,0.9944565870070469
12,1.0277777777777777,0.0047842716994921375,0.9922324209073992
13,1.5305555555555554,0.005101314035318438,0.9876687840178849
14,2.0416666666666665,0.005362777729239099,0.9825932443131523
15,3.0555555555555554,0.00585539595757556,0.9704241009255954
16,4.0777777777777775,0.006368670017579348,0.9557949795419272
17,5.088888888888889,0.006994553235162737,0.9388959947439961
18,6.1,0.007561958343024422,0.921386090914302
19,7.113888888888889,0.008193353534179604,0.9019652301442241
20,8.130555555555556,0.008673428166934727,0.8820655008169472
21,9.15,0.009166556809965254,0.8620702378160883
22,10.16388888888889,0.009673281092128061,0.8424877843351206
23,12.188888888888888,0.010537734611407057,0.8039513755812776
24,15.23611111111111,0.01150553562313128,0.7504047628461769
25,20.31111111111111,0.01255495777813298,0.6726795478556423
26,25.377777777777776,0.013032910357176686,0.6018153219883644
27,30.45,0.013277649578450124,0.5362569405884161
28,40.59722222222222,0.013727879296983048,0.4255859760495008
